april10_april11,533,
april11_april12,538,
april12_april13,542,
april13_april14,509,
april14_april15,386,
april15_april16,320,
april16_april17,442,3270
april17_april18,372,
april18_april19,1019,
april19_april20,883,
april1_april2,607,
april20_april21,868,
april21_april22,877,
april22_april23,830,5456
april2_april3,660,
april3_april4,591,
april4_april5,660,
april5_april6,708,
april6_april7,548,
april7_april8,592,
april8_april9,490,4249
april9_april10,506,
march21_march22,1019,
march22_march23,1068,
march23_march24,1071,
march24_march25,948,
march25_march26,912,
march26_march27,809,
march27_march28,854,
march28_march29,827,
march30_march31,537,
march31_april1,635,9186
,22161,
